Data,Casos,id,Municipio,Estado
2018-09-16,2,"3300100",ANGRA DOS REIS,RJ
2010-06-13,71,"3300100",ANGRA DOS REIS,RJ
2018-10-07,2,"3300100",ANGRA DOS REIS,RJ
2012-03-04,51,"3300100",ANGRA DOS REIS,RJ
2012-06-03,35,"3300100",ANGRA DOS REIS,RJ
2012-12-23,6,"3300100",ANGRA DOS REIS,RJ
2013-07-07,13,"3300100",ANGRA DOS REIS,RJ
2013-10-06,0,"3300100",ANGRA DOS REIS,RJ
2014-04-27,14,"3300100",ANGRA DOS REIS,RJ
2014-11-09,5,"3300100",ANGRA DOS REIS,RJ
2015-02-08,102,"3300100",ANGRA DOS REIS,RJ
2015-08-30,0,"3300100",ANGRA DOS REIS,RJ
2016-03-13,76,"3300100",ANGRA DOS REIS,RJ
2016-04-03,134,"3300100",ANGRA DOS REIS,RJ
2016-11-06,2,"3300100",ANGRA DOS REIS,RJ
2017-05-14,26,"3300100",ANGRA DOS REIS,RJ
2017-08-13,4,"3300100",ANGRA DOS REIS,RJ
2017-12-17,0,"3300100",ANGRA DOS REIS,RJ
2018-06-24,3,"3300100",ANGRA DOS REIS,RJ
2018-09-23,1,"3300100",ANGRA DOS REIS,RJ
2011-01-30,32,"3300100",ANGRA DOS REIS,RJ
2018-10-28,8,"3300100",ANGRA DOS REIS,RJ
2018-09-30,5,"3300100",ANGRA DOS REIS,RJ
2018-11-04,7,"3300100",ANGRA DOS REIS,RJ
2010-10-31,8,"3300100",ANGRA DOS REIS,RJ
2011-08-21,16,"3300100",ANGRA DOS REIS,RJ
2018-10-14,5,"3300100",ANGRA DOS REIS,RJ
2018-10-21,4,"3300100",ANGRA DOS REIS,RJ
2018-11-11,2,"3300100",ANGRA DOS REIS,RJ
